blue,green,red,ndwi,brightness,label,source_file
0.4332232,0.35408106,0.32140929,0.048367426,0.3695712,0,GSL_2004_06.tif
0.4391987,0.3626733,0.3366694,0.037183326,0.37951383,0,GSL_2004_06.tif
0.43595934,0.3577251,0.3284219,0.042706855,0.37403545,0,GSL_2004_06.tif
0.24401997,0.1782089,0.1862736,-0.022126382,0.20283417,0,GSL_2004_06.tif
0.32289657,0.25231686,0.24541752,0.013861466,0.27354363,0,GSL_2004_06.tif
0.43303448,0.36090884,0.33940387,0.03070762,0.37778243,0,GSL_2004_06.tif
0.4307701,0.35657436,0.32705465,0.04318082,0.3714664,0,GSL_2004_06.tif
0.425172,0.35592225,0.32140929,0.05095424,0.36750117,0,GSL_2004_06.tif
0.31874517,0.26075566,0.26707274,-0.0119680315,0.2821912,0,GSL_2004_06.tif
0.39063987,0.3316799,0.33331746,-0.0024624846,0.3518791,0,GSL_2004_06.tif
0.39453968,0.3316799,0.3307594,0.0013895656,0.35232636,0,GSL_2004_06.tif
0.38906738,0.31641337,0.29230043,0.039612867,0.3325937,0,GSL_2004_06.tif
0.4281283,0.35154945,0.3276721,0.035153948,0.36911663,0,GSL_2004_06.tif
0.39554608,0.3349787,0.32714286,0.011834418,0.35255587,0,GSL_2004_06.tif
0.4080003,0.35108915,0.3398449,0.016273942,0.36631146,0,GSL_2004_06.tif
0.44158888,0.3715724,0.35757485,0.01919713,0.39024535,0,GSL_2004_06.tif
0.4326571,0.3550784,0.34504923,0.01432475,0.37759492,0,GSL_2004_06.tif
0.4558672,0.3763288,0.35307622,0.03187878,0.39509073,0,GSL_2004_06.tif
0.4351731,0.35730317,0.34037417,0.024264762,0.3776168,0,GSL_2004_06.tif
0.4429098,0.3804715,0.3723939,0.010729116,0.39859176,0,GSL_2004_06.tif
0.440897,0.38077834,0.37248212,0.011013733,0.39805248,0,GSL_2004_06.tif
0.440897,0.38077834,0.37248212,0.011013733,0.39805248,0,GSL_2004_06.tif
0.4273106,0.35323718,0.33896282,0.020621696,0.37317023,0,GSL_2004_06.tif
0.17367253,0.11948167,0.10601696,0.059710536,0.13305706,1,GSL_2002_05.tif
0.17299998,0.11981715,0.10253433,0.07772713,0.13178383,1,GSL_2002_05.tif
0.1700974,0.11948167,0.09871775,0.09515985,0.12943228,1,GSL_2002_05.tif
0.1712655,0.119942956,0.102057256,0.08056577,0.13108857,1,GSL_2002_05.tif
0.16687624,0.12027844,0.098002136,0.10205307,0.1283856,1,GSL_2002_05.tif
0.09714351,0.06811121,0.059406936,0.068258576,0.074887216,1,GSL_2002_05.tif
0.08907292,0.06874024,0.057355523,0.09028556,0.071722895,1,GSL_2002_05.tif
0.1012142,0.06953701,0.061696887,0.059741117,0.0774827,1,GSL_2002_05.tif
0.112612136,0.080230445,0.066992395,0.08991784,0.08661166,1,GSL_2002_05.tif
0.10808128,0.07779821,0.06904381,0.059617423,0.08497443,1,GSL_2002_05.tif
0.017818108,0.009276311,0.022672322,-0.4192853,0.016588913,1,GSL_2002_05.tif
0.019587975,0.009276311,0.022672322,-0.4192853,0.017178869,1,GSL_2002_05.tif
0.015269502,0.0070956876,0.019332811,-0.46301007,0.013899334,1,GSL_2002_05.tif
0.015340297,0.009192442,0.02076403,-0.38626722,0.015098922,1,GSL_2002_05.tif
0.015340297,0.009276311,0.021622762,-0.39956057,0.015413123,1,GSL_2002_05.tif
0.011411194,0.0033215317,0.020382373,-0.71971774,0.0117050335,1,GSL_2002_05.tif
0.012437716,0.0033215317,0.021002566,-0.7268638,0.012253937,1,GSL_2002_05.tif
0.012933278,0.0013086484,0.021718176,-0.8862986,0.0119867,1,GSL_2002_05.tif
0.013641225,0.0070956876,0.022576908,-0.5217171,0.01443794,1,GSL_2002_05.tif
0.0141367875,0.0051666745,0.020859445,-0.6029392,0.013387635,1,GSL_2002_05.tif
0.011163413,0.004076363,0.017138276,-0.6156738,0.010792684,1,GSL_2002_05.tif
0.010384671,0.004076363,0.018092422,-0.6322144,0.010851152,1,GSL_2002_05.tif
0.010455466,0.0045795836,0.019332811,-0.61694413,0.011455953,1,GSL_2002_05.tif
0.009959904,0.007179558,0.0145620825,-0.33954132,0.010567181,1,GSL_2002_05.tif
0.010880234,0.004076363,0.01704286,-0.61393744,0.010666486,1,GSL_2002_05.tif
0.51525563,0.4448063,0.39503455,0.059263244,0.45169887,0,GSL_1990_06.tif
0.52747816,0.4562024,0.40525988,0.059134863,0.46298012,0,GSL_1990_06.tif
0.5385933,0.4686256,0.41914612,0.055734403,0.47545502,0,GSL_1990_06.tif
0.53034925,0.46221837,0.40904704,0.061027642,0.4672049,0,GSL_1990_06.tif
0.48227936,0.39550477,0.3358286,0.08159902,0.4045376,0,GSL_1990_06.tif
0.5262067,0.44813222,0.40185145,0.054448947,0.45873013,0,GSL_1990_06.tif
0.58744246,0.5192477,0.4690104,0.050834134,0.5252335,0,GSL_1990_06.tif
0.51816773,0.43825233,0.3766668,0.07557245,0.44436228,0,GSL_1990_06.tif
0.5023358,0.4266606,0.36764076,0.074303985,0.43221238,0,GSL_1990_06.tif
0.48371488,0.40200984,0.35255522,0.06554049,0.41276,0,GSL_1990_06.tif
0.5187419,0.43512207,0.3824738,0.06439393,0.44544592,0,GSL_1990_06.tif
0.51820874,0.43433952,0.38783893,0.056557715,0.44679573,0,GSL_1990_06.tif
0.5084471,0.42827463,0.37584627,0.065199524,0.43752265,0,GSL_1990_06.tif
0.49683976,0.42044902,0.35438567,0.0852611,0.42389145,0,GSL_1990_06.tif
0.48494536,0.40841708,0.34390786,0.08574636,0.41242346,0,GSL_1990_06.tif
0.41837758,0.3296227,0.26582927,0.107134275,0.33794317,0,GSL_1990_06.tif
0.4084929,0.3340735,0.27895808,0.08990619,0.3405082,0,GSL_1990_06.tif
0.4084929,0.3340735,0.27895808,0.08990619,0.3405082,0,GSL_1990_06.tif
0.40090507,0.32849774,0.2767489,0.08550027,0.3353839,0,GSL_1990_06.tif
0.42022327,0.3456163,0.2917713,0.08447753,0.35253695,0,GSL_1990_06.tif
0.44421718,0.36571842,0.30035552,0.098131455,0.37009704,0,GSL_1990_06.tif
